step,context,target_word,surprisal
115000,BOS_ONLY,test,11.552530288696289
116000,BOS_ONLY,this,16.81121253967285
116000,BOS_ONLY,test,11.777826309204102
117000,BOS_ONLY,this,17.133220672607422
117000,BOS_ONLY,test,12.281963348388672
118000,BOS_ONLY,this,15.735315322875977
118000,BOS_ONLY,test,11.221460342407227
119000,BOS_ONLY,this,16.247989654541016
119000,BOS_ONLY,test,11.0786771774292
120000,BOS_ONLY,this,17.127317428588867
120000,BOS_ONLY,test,11.740842819213867
121000,BOS_ONLY,this,16.79140853881836
121000,BOS_ONLY,test,11.819851875305176
122000,BOS_ONLY,this,16.2241153717041
122000,BOS_ONLY,test,11.794794082641602
123000,BOS_ONLY,this,19.126941680908203
123000,BOS_ONLY,test,14.517200469970703
124000,BOS_ONLY,this,18.984861373901367
124000,BOS_ONLY,test,13.534056663513184
125000,BOS_ONLY,this,17.94048500061035
125000,BOS_ONLY,test,12.651665687561035
126000,BOS_ONLY,this,17.270198822021484
126000,BOS_ONLY,test,12.044123649597168
127000,BOS_ONLY,this,18.72214698791504
127000,BOS_ONLY,test,11.533548355102539
128000,BOS_ONLY,this,19.31218147277832
128000,BOS_ONLY,test,13.25322151184082
129000,BOS_ONLY,this,20.99692153930664
129000,BOS_ONLY,test,13.23300552368164
130000,BOS_ONLY,this,20.53952407836914
130000,BOS_ONLY,test,13.77219009399414
131000,BOS_ONLY,this,17.18243980407715
131000,BOS_ONLY,test,11.178045272827148
132000,BOS_ONLY,this,19.167821884155273
132000,BOS_ONLY,test,12.15732479095459
133000,BOS_ONLY,this,19.7341251373291
133000,BOS_ONLY,test,12.154047966003418
134000,BOS_ONLY,this,22.775279998779297
134000,BOS_ONLY,test,14.174083709716797
135000,BOS_ONLY,this,22.25863265991211
135000,BOS_ONLY,test,14.065640449523926
136000,BOS_ONLY,this,23.74971580505371
136000,BOS_ONLY,test,13.907674789428711
137000,BOS_ONLY,this,16.325363159179688
137000,BOS_ONLY,test,12.241621971130371
138000,BOS_ONLY,this,15.13232421875
138000,BOS_ONLY,test,10.5391845703125
139000,BOS_ONLY,this,16.539011001586914
139000,BOS_ONLY,test,11.278512954711914
140000,BOS_ONLY,this,16.755813598632812
140000,BOS_ONLY,test,12.228226661682129
141000,BOS_ONLY,this,17.037506103515625
141000,BOS_ONLY,test,12.164947509765625
142000,BOS_ONLY,this,16.506038665771484
142000,BOS_ONLY,test,11.8355073928833
143000,BOS_ONLY,this,15.302742958068848
143000,BOS_ONLY,test,11.896492958068848
